CustomerID,Title,FirstName,LastName,CompanyName,EmailAddress,Phone,ZipCode
1,Mr.,Pritesh,Joshi,CloudCover,priteshjoshi@gmail.com,150-555-0127,431122
5,Mr.,Vikas,Yadav,CloudCover,vikasyadav@gmail.com,440-555-0132,431131
7,Ms.,Gauri,Kulkarni,TCS,gauri.kulkarni@gmail.com,444-666-0444,431178
8,Ms.,Sunidhi,Patil,Accenture,sunidhi.patil@gmail.com,443-666-7777,887744
9,Ms.,Vasudha,Sathe,Wipro,vasudha.sathe@gmail.com,443-666-5555,234144
10,Mr.,Sachin,Bhosale,Nagaro,sachin.bhosale@gmail.com,333-666-0009,989144
11,Mr.,Omkar,Revankar,Synechron,omkar.revankar@gmail.com,421-111-1019,666666
14,Mr.,Sonu,Bhosale,Microsoft,Sonu.bhosale@gmail.com,111-111-0001,989144
15,Mr.,Santosh,Revankar,Android,Santosh.revankar@gmail.com,666-666-6666,666666


